epoch,sample_id,index,text,variant,token_accuracy,q0_accuracy,wav_path
8,ulsan_000006,1,그래 급속도로 빠져나가고 근육도,gt_all,1.0,1.0,hybrid/epoch-08/sample_001/gt_all.wav
8,ulsan_000006,1,그래 급속도로 빠져나가고 근육도,pred_all,0.0494791679084301,0.1458333283662796,hybrid/epoch-08/sample_001/pred_all.wav
8,ulsan_000006,1,그래 급속도로 빠져나가고 근육도,pred_q0_to_0_gt_rest,0.9466145634651184,0.1458333283662796,hybrid/epoch-08/sample_001/pred_q0_to_0_gt_rest.wav
8,ulsan_000006,1,그래 급속도로 빠져나가고 근육도,gt_q0_to_0_pred_rest,0.1028645858168602,1.0,hybrid/epoch-08/sample_001/gt_q0_to_0_pred_rest.wav
8,ulsan_000006,1,그래 급속도로 빠져나가고 근육도,pred_q0_to_1_gt_rest,0.8919270634651184,0.1458333283662796,hybrid/epoch-08/sample_001/pred_q0_to_1_gt_rest.wav
8,ulsan_000006,1,그래 급속도로 빠져나가고 근육도,gt_q0_to_1_pred_rest,0.1575520783662796,1.0,hybrid/epoch-08/sample_001/gt_q0_to_1_pred_rest.wav
8,ulsan_000006,1,그래 급속도로 빠져나가고 근육도,pred_q0_to_3_gt_rest,0.7786458134651184,0.1458333283662796,hybrid/epoch-08/sample_001/pred_q0_to_3_gt_rest.wav
8,ulsan_000006,1,그래 급속도로 빠져나가고 근육도,gt_q0_to_3_pred_rest,0.2708333432674408,1.0,hybrid/epoch-08/sample_001/gt_q0_to_3_pred_rest.wav
8,ulsan_000006,1,그래 급속도로 빠져나가고 근육도,pred_q0_to_7_gt_rest,0.54296875,0.1458333283662796,hybrid/epoch-08/sample_001/pred_q0_to_7_gt_rest.wav
8,ulsan_000006,1,그래 급속도로 빠져나가고 근육도,gt_q0_to_7_pred_rest,0.5065104365348816,1.0,hybrid/epoch-08/sample_001/gt_q0_to_7_pred_rest.wav
8,ulsan_001843,2,가끔씩 재밌을 때도 있지만,gt_all,1.0,1.0,hybrid/epoch-08/sample_002/gt_all.wav
8,ulsan_001843,2,가끔씩 재밌을 때도 있지만,pred_all,0.046875,0.10000000149011612,hybrid/epoch-08/sample_002/pred_all.wav
8,ulsan_001843,2,가끔씩 재밌을 때도 있지만,pred_q0_to_0_gt_rest,0.9437500238418579,0.10000000149011612,hybrid/epoch-08/sample_002/pred_q0_to_0_gt_rest.wav
8,ulsan_001843,2,가끔씩 재밌을 때도 있지만,gt_q0_to_0_pred_rest,0.10312499850988388,1.0,hybrid/epoch-08/sample_002/gt_q0_to_0_pred_rest.wav
8,ulsan_001843,2,가끔씩 재밌을 때도 있지만,pred_q0_to_1_gt_rest,0.8843749761581421,0.10000000149011612,hybrid/epoch-08/sample_002/pred_q0_to_1_gt_rest.wav
8,ulsan_001843,2,가끔씩 재밌을 때도 있지만,gt_q0_to_1_pred_rest,0.16249999403953552,1.0,hybrid/epoch-08/sample_002/gt_q0_to_1_pred_rest.wav
8,ulsan_001843,2,가끔씩 재밌을 때도 있지만,pred_q0_to_3_gt_rest,0.765625,0.10000000149011612,hybrid/epoch-08/sample_002/pred_q0_to_3_gt_rest.wav
8,ulsan_001843,2,가끔씩 재밌을 때도 있지만,gt_q0_to_3_pred_rest,0.28125,1.0,hybrid/epoch-08/sample_002/gt_q0_to_3_pred_rest.wav
8,ulsan_001843,2,가끔씩 재밌을 때도 있지만,pred_q0_to_7_gt_rest,0.528124988079071,0.10000000149011612,hybrid/epoch-08/sample_002/pred_q0_to_7_gt_rest.wav
8,ulsan_001843,2,가끔씩 재밌을 때도 있지만,gt_q0_to_7_pred_rest,0.518750011920929,1.0,hybrid/epoch-08/sample_002/gt_q0_to_7_pred_rest.wav
8,ulsan_003503,3,장칼국수라고 이제 칼국순데 국물이 되게 빨갛게 돼서 이제,gt_all,1.0,1.0,hybrid/epoch-08/sample_003/gt_all.wav
8,ulsan_003503,3,장칼국수라고 이제 칼국순데 국물이 되게 빨갛게 돼서 이제,pred_all,0.0868055522441864,0.1805555522441864,hybrid/epoch-08/sample_003/pred_all.wav
8,ulsan_003503,3,장칼국수라고 이제 칼국순데 국물이 되게 빨갛게 돼서 이제,pred_q0_to_0_gt_rest,0.9487847089767456,0.1805555522441864,hybrid/epoch-08/sample_003/pred_q0_to_0_gt_rest.wav
8,ulsan_003503,3,장칼국수라고 이제 칼국순데 국물이 되게 빨갛게 돼서 이제,gt_q0_to_0_pred_rest,0.1380208283662796,1.0,hybrid/epoch-08/sample_003/gt_q0_to_0_pred_rest.wav
8,ulsan_003503,3,장칼국수라고 이제 칼국순데 국물이 되게 빨갛게 돼서 이제,pred_q0_to_1_gt_rest,0.8914930820465088,0.1805555522441864,hybrid/epoch-08/sample_003/pred_q0_to_1_gt_rest.wav
8,ulsan_003503,3,장칼국수라고 이제 칼국순데 국물이 되게 빨갛게 돼서 이제,gt_q0_to_1_pred_rest,0.1953125,1.0,hybrid/epoch-08/sample_003/gt_q0_to_1_pred_rest.wav
8,ulsan_003503,3,장칼국수라고 이제 칼국순데 국물이 되게 빨갛게 돼서 이제,pred_q0_to_3_gt_rest,0.7803819179534912,0.1805555522441864,hybrid/epoch-08/sample_003/pred_q0_to_3_gt_rest.wav
8,ulsan_003503,3,장칼국수라고 이제 칼국순데 국물이 되게 빨갛게 돼서 이제,gt_q0_to_3_pred_rest,0.3064236044883728,1.0,hybrid/epoch-08/sample_003/gt_q0_to_3_pred_rest.wav
